reference__x,reference__y,reference__x,reference__y
2214.4180081523,1430.6340638408603,2000.0,1600.0
2180.50606355666,1415.9920727196668,2000.0,1530.0
2179.7639504770036,1382.1568155515968,2000.0,1460.0
2228.9906358436315,1398.4082503019379,2000.0,1390.0
2217.7341337811113,1378.6764790459617,2000.0,1320.0
2217.6149419882954,1379.6802281372663,2000.0,1250.0
2165.477022174564,1338.9499497757567,2000.0,1200.0
2221.670109271057,1345.6572317209373,1999.638636861552,1185.279697701775
2134.3488198374953,1339.8581376722514,1998.555418001659,1170.594857901132
2202.9679774821234,1281.206528021939,1996.752952989434,1155.980857663391
2207.5228201100986,1284.694285262835,1994.235584120969,1141.472903395162
2266.0612649783848,1304.7284377332967,1991.009375958363,1127.105946029021
2259.1256283423945,1271.0040167278073,1987.082100719663,1112.914596823661
2250.7296116725606,1236.8222575923269,1982.463219554906,1098.933043982334
2236.2074910204783,1229.4948088308977,1977.163859753386,1085.194970290473
2264.2241186147594,1232.6826133560676,1971.196787937033,1071.733471970915
2233.179048967243,1233.6290152118027,1964.576379304506,1058.580978952201
2222.8965102213406,1190.6286979360734,1957.318583000082,1045.769176742034
2254.0353227372757,1190.6278387088564,1949.440883690763,1033.328930094119
2220.436742129194,1160.7788620245146,1940.962259444193,1021.29020865227
2297.4234597530126,1172.5955828524757,1931.903136008821,1009.682014750906
2294.4092555428892,1146.7564645212642,1922.285337606488,998.5323135458946
2153.205971328122,1097.1557689656433,1912.132034355964,987.8679656440357
2213.705859724979,1135.4370068278363,1901.467686454105,977.7146623935123
2250.667202864505,1162.7238720652217,1890.317985249094,968.0968639911789
2255.0547145741666,1117.1347343040718,1878.70979134773,959.0377405558065
2229.2041775795556,1153.470578490786,1866.671069905881,950.5591163092364
2255.710221900239,1079.272815425593,1854.230823257966,942.6814169999184
2302.182248256023,1134.0807945446704,1841.419021047799,935.4236206954936
2055.2657528385043,887.6671736201822,1828.266528029085,928.8032120629671
2034.6936299407498,878.065121849605,1814.805029709527,922.8361402466139
